pnr,tract_id,trips
38th & Blake,08001007801,2.280608982759383
38th & Blake,08001007802,2.661140009221292
38th & Blake,08001007900,3.7390217864859916
38th & Blake,08001008000,5.9019373437888465
38th & Blake,08001008100,3.4417581885246804
38th & Blake,08001008200,16.123999607538845
38th & Blake,08001008308,10.779709023847325
38th & Blake,08001008309,4.063965611948177
38th & Blake,08001008354,65.91761737653754
38th & Blake,08001008355,1.806881265925628
38th & Blake,08001008401,0.0
38th & Blake,08001008505,12.15098188191965
38th & Blake,08001008506,7.024082234368546
38th & Blake,08001008507,7.1295977698532225
38th & Blake,08001008508,5.961766195882902
38th & Blake,08001008524,5.520283906606709
38th & Blake,08001008526,18.537887527897492
38th & Blake,08001008533,9.468436227843927
38th & Blake,08001008534,4.203071216004924
38th & Blake,08001008535,3.8675491312860593
38th & Blake,08001008536,2.2667160559484083
38th & Blake,08001008538,6.1602439072884
38th & Blake,08001008540,5.523125612753934
38th & Blake,08001008544,4.246246711671379
38th & Blake,08001008545,5.743428459902628
38th & Blake,08001008546,2.426688657338122
38th & Blake,08001008547,2.2045914256468113
38th & Blake,08001008548,0.6128451123860039
38th & Blake,08001008549,1.8804755934195398
38th & Blake,08001008550,5.74189661849957
38th & Blake,08001008551,0.5918761650910861
38th & Blake,08001008552,3.4710071660675736
38th & Blake,08001008553,9.656426263332209
38th & Blake,08001008554,2.159139433060425
38th & Blake,08001008555,7.081081814923393
38th & Blake,08001008556,4.873656258468037
38th & Blake,08001008557,0.8780353031513081
38th & Blake,08001008558,2.264128910974971
38th & Blake,08001008559,4.5359321388491916
38th & Blake,08001008560,0.5748103910083442
38th & Blake,08001008561,0.7250221026109356
38th & Blake,08001008562,6.234618301908595
38th & Blake,08001008563,4.688704933013806
38th & Blake,08001008564,0.8749097251869521
38th & Blake,08001008565,5.506202690976752
38th & Blake,08001008603,1.3104040080290222
38th & Blake,08001008604,2.2276172561927265
38th & Blake,08001008605,1.694272703843366
38th & Blake,08001008606,4.999584770048636
38th & Blake,08001008705,5.614711320291944
38th & Blake,08001008706,2.436698642236264
38th & Blake,08001008709,26.63957041636835
38th & Blake,08001008801,2.939062872135039
38th & Blake,08001008802,4.480651273364099
38th & Blake,08001008901,13.826807883557128
38th & Blake,08001009001,7.867137556256661
38th & Blake,08001009003,9.487396229402538
38th & Blake,08001009004,8.769906399458964
38th & Blake,08001009101,3.9119094003381853
38th & Blake,08001009103,1.8362843912439835
38th & Blake,08001009104,4.085596444200831
38th & Blake,08001009202,6.319192913344031
38th & Blake,08001009203,7.0272767422907165
38th & Blake,08001009204,11.030104679980445
38th & Blake,08001009206,1.9287648079921724
38th & Blake,08001009207,2.7660408990808367
38th & Blake,08001009304,6.477505064257948
38th & Blake,08001009306,6.333393729793643
38th & Blake,08001009307,10.881554965358436
