tract_id,pnr,trips
08001008000,Lincoln & Jordan Park-n-Ride,0.32210109208155846
08001008000,Lincoln Station,0.6433725643231871
08001008000,Littleton Downtown Station,1.2881969633662516
08001008000,Mineral Station,0.5367660184826033
08001008000,Nine Mile Station,15.018663459593807
08001008000,Olde Town Arvada,5.045973902664439
08001008000,Peoria Station,264.80982390561667
08001008000,Ridgegate Pkwy Station,2.146027049130501
08001008000,Table Mesa Park-n-Ride,1.5016174600074015
08001008000,Thornton Crossroads & 104th,0.9656810613647281
08001008000,Thornton Park-n-Ride (East Lot),1.9334361723292808
08001008000,Thornton Park-n-Ride (West Lot),0.0
08001008000,US 36 & Broomfield Station,7.8380697805979
08001008000,US 36 & Sheridan Station (East Lot),0.8582448956842144
08001008000,US 36 & Sheridan Station (West Lot),0.6435799692831696
08001008000,US-36/McCaslin Park-n-Ride (North Lot),0.1072287607205312
08001008000,US-36/McCaslin Park-n-Ride (South Lot),0.1072287607205312
08001008000,University of Denver Station,1.3956331290467652
08001008000,Wagon Rd Park-n-Ride,3.2191442761757427
08001008000,Westminster Station,0.0
08001008000,Wheat Ridge/Ward Rd,0.7510161349636832
08001008100,38th & Blake,5.048941978919136
08001008100,40th & Colorado Station,1.5193315264811278
08001008100,40th Ave & Airport Blvd,38.27730317453771
08001008100,41st & Fox,3.1132326517173343
08001008100,8th & Coffman Park-n-Ride,0.7316206723697707
08001008100,Arapahoe @ Village Center Station,7.816684617200345
08001008100,Central Park,25.36136471957216
08001008100,Colorado Station,1.0830297280230814
08001008100,Eastlake & 124th,0.29604116427366445
08001008100,Federal Center,1.3923535574549946
08001008100,I-25/Broadway,1.4927661961646308
08001008100,Jefferson County Government Center,0.11369530386788476
08001008100,Lincoln & Jordan Park-n-Ride,0.13657882271384975
08001008100,Lincoln Station,0.6245667010810103
08001008100,Littleton Downtown Station,0.5854409959682045
08001008100,Mineral Station,0.2569154591608588
08001008100,Nine Mile Station,14.929176902031017
08001008100,Olde Town Arvada,1.6559103491949776
08001008100,Peoria Station,171.671672344835
08001008100,Ridgegate Pkwy Station,1.645587205145321
08001008100,Table Mesa Park-n-Ride,1.2978599609625425
08001008100,Thornton Crossroads & 104th,0.5920823285473289
08001008100,Thornton Park-n-Ride (East Lot),0.2569154591608588
08001008100,Thornton Park-n-Ride (West Lot),0.0
08001008100,US 36 & Broomfield Station,2.1505395601412625
08001008100,US 36 & Sheridan Station (East Lot),0.5920823285473289
08001008100,US 36 & Sheridan Station (West Lot),0.7316206723697707
08001008100,US-36/McCaslin Park-n-Ride (North Lot),0.10409445018016837
08001008100,US-36/McCaslin Park-n-Ride (South Lot),0.08785226391332769
08001008100,University of Denver Station,0.7641050449034521
08001008100,Wagon Rd Park-n-Ride,2.335122651293694
08001008100,Westminster Station,0.0
08001008100,Wheat Ridge/Ward Rd,0.5204722509008418
08001008200,38th & Blake,23.77767986340558
08001008200,40th & Colorado Station,7.923085764685772
08001008200,40th Ave & Airport Blvd,158.35295800430825
08001008200,41st & Fox,14.41824872141862
08001008200,8th & Coffman Park-n-Ride,2.2878170588032605
08001008200,Arapahoe @ Village Center Station,33.641922044740156
08001008200,Central Park,133.64633812045375
08001008200,Colorado Station,4.140488249652291
08001008200,Eastlake & 124th,1.3855002603141977
08001008200,Federal Center,6.396280245874949
08001008200,I-25/Broadway,5.622063697708298
08001008200,Jefferson County Government Center,0.0480375938709046
08001008200,Lincoln & Jordan Park-n-Ride,0.4671709305348331
08001008200,Lincoln Station,2.787013051918697
08001008200,Littleton Downtown Station,2.271804527512959
08001008200,Mineral Station,0.9183293297793647
08001008200,Nine Mile Station,49.01333268163483
08001008200,Olde Town Arvada,7.81380556876975
08001008200,Peoria Station,754.4728434500186
08001008200,Ridgegate Pkwy Station,6.057209565662529
08001008200,Table Mesa Park-n-Ride,5.477950916095584
08001008200,Thornton Crossroads & 104th,2.754987989338094
08001008200,Thornton Park-n-Ride (East Lot),0.9503543923599677
08001008200,Thornton Park-n-Ride (West Lot),0.0
08001008200,US 36 & Broomfield Station,10.632843683269051
08001008200,US 36 & Sheridan Station (East Lot),2.754987989338094
08001008200,US 36 & Sheridan Station (West Lot),2.3358546526741653
08001008200,US-36/McCaslin Park-n-Ride (North Lot),0.45115839924453155
08001008200,US-36/McCaslin Park-n-Ride (South Lot),0.45115839924453155
08001008200,University of Denver Station,2.319842121383864
08001008200,Wagon Rd Park-n-Ride,8.876247680161828
